State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Number,Percent of population,NumberEmployed,Percent of populationEmployed,NumberUnemployed,RateUnemplo
01,01,Alabama,Total,"3,786    ","2,164    ",57.2    ,"2,011    ",53.1    ,153    ,7.1    
01,02,Alabama,Men,"1,796    ","1,134    ",63.1    ,"1,055    ",58.7    ,79    ,6.9    
01,03,Alabama,Women,"1,990    ","1,031    ",51.8    ,956    ,48.0    ,75    ,7.2    
01,04,Alabama,White,"2,714    ","1,563    ",57.6    ,"1,481    ",54.6    ,82    ,5.2    
01,05,Alabama,"White, men","1,314    ",859    ,65.4    ,819    ,62.3    ,41    ,4.7    
01,06,Alabama,"White, women","1,400    ",703    ,50.2    ,662    ,47.3    ,41    ,5.9    
01,07,Alabama,Black or African American,963    ,539    ,55.9    ,473    ,49.1    ,66    ,12.2    
01,08,Alabama,"Black or African American, men",428    ,237    ,55.5    ,203    ,47.4    ,35    ,14.6    
01,09,Alabama,"Black or African American, women",536    ,301    ,56.3    ,270    ,50.5    ,31    ,10.3    
01,13,Alabama,Hispanic or Latino ethnicity,129    ,90    ,70.1    ,81    ,63.1    ,9    ,10.0    
01,14,Alabama,"Hispanic or Latino ethnicity, men",77    ,63    ,80.7    ,58    ,74.4    ,5    ,7.8    
01,16,Alabama,"Married men, spouse present",976    ,663    ,67.9    ,644    ,66.0    ,19    ,2.8    
01,17,Alabama,"Married women, spouse present",971    ,536    ,55.2    ,518    ,53.4    ,18    ,3.4    
01,18,Alabama,Women who maintain families,286    ,161    ,56.4    ,143    ,49.9    ,19    ,11.5    
01,19,Alabama,"Total, 16 to 19 years",241    ,62    ,25.7    ,44    ,18.1    ,18    ,29.7    
01,20,Alabama,"Total, 20 to 24 years",348    ,238    ,68.4    ,209    ,59.9    ,30    ,12.4    
01,21,Alabama,"Total, 25 to 34 years",572    ,455    ,79.6    ,409    ,71.5    ,46    ,10.1    
01,22,Alabama,"Total, 35 to 44 years",632    ,507    ,80.2    ,486    ,76.9    ,20    ,4.0    
01,23,Alabama,"Total, 45 to 54 years",641    ,469    ,73.1    ,446    ,69.6    ,22    ,4.8    
01,24,Alabama,"Total, 55 to 64 years",622    ,324    ,52.1    ,311    ,50.0    ,13    ,4.0    
01,25,Alabama,"Total, 65 years and over",729    ,109    ,15.0    ,106    ,14.5    ,4    ,3.3    
01,27,Alabama,"Men, 20 to 24 years",166    ,122    ,73.4    ,106    ,64.0    ,16    ,12.8    
01,28,Alabama,"Men, 25 to 34 years",295    ,254    ,86.2    ,232    ,78.7    ,22    ,8.7    
01,29,Alabama,"Men, 35 to 44 years",292    ,256    ,87.7    ,245    ,83.8    ,11    ,4.4    
01,30,Alabama,"Men, 45 to 54 years",314    ,250    ,79.6    ,237    ,75.6    ,12    ,5.0    
