"State_FIPS_Code","Group_Code","State","AGroup","Civilian_non_inst_population","ANumber","Percent_of_population","NumberEmployed","Pop_Employed","NumberUnemployed","RateUnemplo"
"1","1","ALABAMA","Total","3786","2164","57.2","2011","53.1","153","7.1"
"1","2","ALABAMA","Men","1796","1134","63.1","1055","58.7","79","6.9"
"1","3","ALABAMA","Women","1990","1031","51.8","956","48","75","7.2"
"1","4","ALABAMA","White","2714","1563","57.6","1481","54.6","82","5.2"
"1","5","ALABAMA","White, men","1314","859","65.4","819","62.3","41","4.7"
"1","6","ALABAMA","White, women","1400","703","50.2","662","47.3","41","5.9"
"1","7","ALABAMA","Black or African American","963","539","55.9","473","49.1","66","12.2"
"1","8","ALABAMA","Black or African American, men","428","237","55.5","203","47.4","35","14.6"
"1","9","ALABAMA","Black or African American, women","536","301","56.3","270","50.5","31","10.3"
"1","13","ALABAMA","Hispanic or Latino ethnicity","129","90","70.1","81","63.1","9","10"
"1","14","ALABAMA","Hispanic or Latino ethnicity, men","77","63","80.7","58","74.4","5","7.8"
"1","16","ALABAMA","Married men, spouse present","976","663","67.9","644","66","19","2.8"
"1","17","ALABAMA","Married women, spouse present","971","536","55.2","518","53.4","18","3.4"
"1","18","ALABAMA","Women who maintain families","286","161","56.4","143","49.9","19","11.5"
"1","19","ALABAMA","Total, 16 to 19 years","241","62","25.7","44","18.1","18","29.7"
"1","20","ALABAMA","Total, 20 to 24 years","348","238","68.4","209","59.9","30","12.4"
"1","21","ALABAMA","Total, 25 to 34 years","572","455","79.6","409","71.5","46","10.1"
"1","22","ALABAMA","Total, 35 to 44 years","632","507","80.2","486","76.9","20","4"
"1","23","ALABAMA","Total, 45 to 54 years","641","469","73.1","446","69.6","22","4.8"
"1","24","ALABAMA","Total, 55 to 64 years","622","324","52.1","311","50","13","4"
"1","25","ALABAMA","Total, 65 years and over","729","109","15","106","14.5","4","3.3"
"1","27","ALABAMA","Men, 20 to 24 years","166","122","73.4","106","64","16","12.8"
"1","28","ALABAMA","Men, 25 to 34 years","295","254","86.2","232","78.7","22","8.7"
"1","29","ALABAMA","Men, 35 to 44 years","292","256","87.7","245","83.8","11","4.4"
"1","30","ALABAMA","Men, 45 to 54 years","314","250","79.6","237","75.6","12","5"
"1","31","ALABAMA","Men, 55 to 64 years","280","163","58.2","156","55.9","7","4"
"1","32","ALABAMA","Men, 65 years and over","330","62","18.9","61","18.6","1","1.8"
"1","33","ALABAMA","Women, 16 to 19 years","122","35","29.1","27","22.1","8","24"
"1","34","ALABAMA","Women, 20 to 24 years","182","116","63.9","102","56.2","14","12"
"1","35","ALABAMA","Women, 25 to 34 years","278","202","72.6","177","63.9","24","11.9"
"1","36","ALABAMA","Women, 35 to 44 years","340","250","73.7","241","71","9","3.6"
"1","37","ALABAMA","Women, 45 to 54 years","328","219","66.8","209","63.8","10","4.6"
"1","38","ALABAMA","Women, 55 to 64 years","342","161","47.1","155","45.2","7","4.1"
"1","39","ALABAMA","Women, 65 years and over","400","47","11.8","45","11.2","2","5.3"
"1","40","ALABAMA","White, 16 to 19 years","160","46","28.8","35","22","11","23.6"
"1","41","ALABAMA","White, 20 to 24 years","228","163","71.5","151","66.2","12","7.4"
"1","42","ALABAMA","White, 25 to 34 years","381","314","82.4","294","77.1","20","6.5"
"1","43","ALABAMA","White, 35 to 44 years","439","355","80.7","343","78.1","11","3.2"
"1","44","ALABAMA","White, 45 to 54 years","459","346","75.5","329","71.7","17","5"
"1","45","ALABAMA","White, 55 to 64 years","453","246","54.3","238","52.6","8","3.1"
"1","46","ALABAMA","White, 65 years and over","594","93","15.6","91","15.3","2","2.1"
"1","48","ALABAMA","Black or African American, 20 to 24 years","109","68","62","52","47.6","16","23.2"
"1","49","ALABAMA","Black or African American, 25 to 34 years","170","125","73.7","103","60.3","23","18.2"
"1","50","ALABAMA","Black or African American, 35 to 44 years","165","134","81","126","76.1","8","6"
"1","51","ALABAMA","Black or African American, 45 to 54 years","165","110","66.9","106","64.1","5","4.2"
